"time","anomalies.detector_id","anomalies.diff"
"2015-06-23T10:52:31.000Z","3","-5"
"2015-06-23T15:03:01.000Z","2","-4"
"2015-06-23T15:07:31.000Z","2","-4"
"2015-06-23T15:15:01.000Z","2","-4"
"2015-06-23T15:16:31.000Z","2","5"
"2015-06-23T15:18:01.000Z","2","-4"
"2015-06-23T15:25:31.000Z","2","4"
"2015-06-23T15:40:31.000Z","3","-5"
"2015-06-23T15:49:31.000Z","2","4"
"2015-06-23T15:51:01.000Z","2","-4"
"2015-06-23T16:04:31.000Z","2","5"
"2015-06-23T16:06:01.000Z","2","-4"
"2015-06-23T19:57:01.000Z","2","4"
"2015-06-24T10:57:01.000Z","31","40"
"2015-06-24T15:33:01.000Z","2","4"
"2015-06-24T15:36:01.000Z","17","-13"
"2015-06-24T15:40:31.000Z","3","5"
"2015-06-24T18:33:01.000Z","65","-7"
"2015-06-25T14:04:31.000Z","3","-5"
"2015-06-25T15:12:01.000Z","2","4"
"2015-06-25T15:13:31.000Z","2","-4"
"2015-06-25T16:10:31.000Z","44","-6"
"2015-06-26T11:16:31.000Z","3","5"
"2015-06-26T15:06:01.000Z","2","-4"
"2015-06-26T15:21:01.000Z","2","4"
"2015-06-26T15:22:31.000Z","2","-4"
"2015-06-26T16:31:31.000Z","3","5"
"2015-06-29T08:45:01.000Z","99","9"
"2015-06-29T13:25:31.000Z","3","5"
"2015-06-29T13:28:31.000Z","2","4"
"2015-06-29T15:06:01.000Z","2","-4"
"2015-06-29T15:34:31.000Z","2","-4"
"2015-06-29T15:49:31.000Z","3","-5"
"2015-06-29T16:00:01.000Z","3","-5"
"2015-06-29T16:16:31.000Z","3","5"
"2015-06-29T16:19:31.000Z","3","-5"
"2015-06-30T12:51:01.000Z","2","4"
"2015-06-30T13:49:31.000Z","70","-6"
"2015-06-30T14:37:31.000Z","3","-5"
"2015-06-30T14:42:01.000Z","4","8"
"2015-06-30T15:15:01.000Z","2","4"
"2015-06-30T15:39:01.000Z","2","4"
"2015-06-30T18:45:01.000Z","44","30"
"2015-06-30T18:48:01.000Z","2","4"
"2015-07-01T14:06:01.000Z","2","-4"
"2015-07-01T14:09:01.000Z","3","5"
"2015-07-01T15:04:31.000Z","2","-5"
"2015-07-01T15:33:01.000Z","2","-4"
"2015-07-01T16:13:31.000Z","3","5"
"2015-07-01T16:15:01.000Z","2","-4"
"2015-07-01T16:57:01.000Z","2","4"
"2015-07-02T10:46:31.000Z","3","5"
"2015-07-02T14:06:01.000Z","2","4"
"2015-07-02T14:52:31.000Z","2","4"
"2015-07-02T14:54:01.000Z","2","-4"
"2015-07-02T15:03:01.000Z","2","4"
"2015-07-02T15:10:31.000Z","2","4"
"2015-07-02T16:36:01.000Z","2","4"
"2015-07-02T16:37:31.000Z","2","-4"
"2015-07-03T12:12:01.000Z","3","5"
"2015-07-03T12:13:31.000Z","3","-5"
"2015-07-03T14:36:01.000Z","2","5"
"2015-07-03T15:09:01.000Z","2","-4"
"2015-07-03T15:10:31.000Z","3","5"
"2015-07-03T15:51:01.000Z","3","5"
"2015-07-03T15:52:31.000Z","3","-5"
"2015-07-03T19:22:31.000Z","49","-11"
"2015-07-04T12:00:01.000Z","33","-17"
"2015-07-06T04:22:31.000Z","51","-6"
"2015-07-06T11:48:01.000Z","33","9"
"2015-07-06T14:03:01.000Z","2","4"
"2015-07-06T14:04:31.000Z","2","-4"
"2015-07-06T15:09:01.000Z","2","-4"
"2015-07-06T15:36:01.000Z","2","4"
"2015-07-07T15:00:01.000Z","2","-4"
"2015-07-07T15:09:01.000Z","2","-4"
"2015-07-07T15:10:31.000Z","2","4"
"2015-07-07T16:25:31.000Z","3","5"
"2015-07-07T20:12:01.000Z","9","11"
"2015-07-08T10:40:31.000Z","33","-9"
